"product_id","source_pages","fastmoss_product_url","issue","detail"
"1732572908288512899","1","https://www.fastmoss.com/zh/e-commerce/detail/1732572908288512899","three_day_gmv_exceeds_total_display","页面三日销售额 $8563.6，总销售额 $8534.6；口径/同步/估算原因待核实。"
"1732603465194443399","1","https://www.fastmoss.com/zh/e-commerce/detail/1732603465194443399","three_day_gmv_exceeds_total_display","页面三日销售额 $2637.15，总销售额 $2556.6；口径/同步/估算原因待核实。"
"1732596473439555736","1","https://www.fastmoss.com/zh/e-commerce/detail/1732596473439555736","suspected_non_clothing","标题为 Voucher / Reward Coupon，疑似优惠券，暂不纳入服装候选。"
"1732581012615434714","2","https://www.fastmoss.com/zh/e-commerce/detail/1732581012615434714","three_day_gmv_exceeds_total_display","页面三日销售额 $523.14，总销售额 $435.17；口径/同步/估算原因待核实。"
"1732606321352938258","2","https://www.fastmoss.com/zh/e-commerce/detail/1732606321352938258","three_day_gmv_exceeds_total_display","页面三日销售额 $539.83，总销售额 $221.63；口径/同步/估算原因待核实。"
"1732519883071721634","3","https://www.fastmoss.com/zh/e-commerce/detail/1732519883071721634","three_day_gmv_exceeds_total_display","页面三日销售额 $1289.6，总销售额 $1279.2；口径/同步/估算原因待核实。"
"1732607479941468894","3","https://www.fastmoss.com/zh/e-commerce/detail/1732607479941468894","three_day_gmv_exceeds_total_display","页面三日销售额 $2414，总销售额 $2399.8；口径/同步/估算原因待核实。"
"1732594889872543943","3","https://www.fastmoss.com/zh/e-commerce/detail/1732594889872543943","suspected_non_clothing","标题为 Baby Velvet Hangers，疑似衣架，暂不纳入服装候选。"
"1732523028485148833","4","https://www.fastmoss.com/zh/e-commerce/detail/1732523028485148833","three_day_gmv_exceeds_total_display","页面三日销售额 $350.59，总销售额 $332.3；口径/同步/估算原因待核实。"
"1732584743583518904","4","https://www.fastmoss.com/zh/e-commerce/detail/1732584743583518904","three_day_gmv_exceeds_total_display","页面三日销售额 $404.55，总销售额 $267.03；口径/同步/估算原因待核实。"
"1732575923243553060","5","https://www.fastmoss.com/zh/e-commerce/detail/1732575923243553060","three_day_gmv_exceeds_total_display","页面三日销售额 $130.79，总销售额 $128.79；口径/同步/估算原因待核实。"
"1732607858535338944","6|7","https://www.fastmoss.com/zh/e-commerce/detail/1732607858535338944","duplicate_across_pages","同一商品在多页出现，保留全部原始记录，去重表采用最近一次读取值；重复原因待确认。"
"1732607281444917563","7|8","https://www.fastmoss.com/zh/e-commerce/detail/1732607281444917563","three_day_gmv_exceeds_total_display","页面三日销售额 $1292.29，总销售额 $1289.2；口径/同步/估算原因待核实。"
"1732607281444917563","7|8","https://www.fastmoss.com/zh/e-commerce/detail/1732607281444917563","duplicate_across_pages","同一商品在多页出现，保留全部原始记录，去重表采用最近一次读取值；重复原因待确认。"
"1732469606148379424","7|8","https://www.fastmoss.com/zh/e-commerce/detail/1732469606148379424","duplicate_across_pages","同一商品在多页出现，保留全部原始记录，去重表采用最近一次读取值；重复原因待确认。"
"1732542143457825135","8","https://www.fastmoss.com/zh/e-commerce/detail/1732542143457825135","three_day_gmv_exceeds_total_display","页面三日销售额 $280.11，总销售额 $270；口径/同步/估算原因待核实。"
"1732539022013075893","9","https://www.fastmoss.com/zh/e-commerce/detail/1732539022013075893","three_day_gmv_exceeds_total_display","页面三日销售额 $470.4，总销售额 $470.2；口径/同步/估算原因待核实。"
"1732539022013075893","9","https://www.fastmoss.com/zh/e-commerce/detail/1732539022013075893","suspected_non_clothing","标题为 Crossbody Bag / Mini Purse，疑似包袋，暂不纳入服装候选。"
"1732570325500400156","9|10","https://www.fastmoss.com/zh/e-commerce/detail/1732570325500400156","duplicate_across_pages","同一商品在多页出现，保留全部原始记录，去重表采用最近一次读取值；重复原因待确认。"
"1732572315245056783","9|10","https://www.fastmoss.com/zh/e-commerce/detail/1732572315245056783","duplicate_across_pages","同一商品在多页出现，保留全部原始记录，去重表采用最近一次读取值；重复原因待确认。"

